"name","xcoor","ycoor","zcoor","name_date"
"water1",2804022.794,1175239.064,1487.984,"post"
"water2",2804039.376,1175225.039,1487.774,"post"
"water3",2804055.069,1175234.883,1488.111,"post"
"water4",2804045.526,1175247.457,1488.28,"post"
"water5",2804059.71,1175266.073,1488.662,"post"
"water7",2804105.693,1175250.587,1488.883,"post"
"water8",2804104.569,1175265.873,1489.069,"post"
"water9",2804141.333,1175250.739,1489.564,"post"
"water10",2804133.957,1175277.799,1489.545,"post"
"water11",2804176.712,1175262.025,1490.079,"post"
"water12",2804167.958,1175279.622,1489.977,"post"
