Job:spoelgcps,Version:21.20,Units:Metres,,,,,,,
test,2804084.474,1175277.936,1491.093,,,,,,
gcp1,2804000.96,1175253.595,1491.841,,,,,,
gcp2,2804004.387,1175251.294,1489.738,,,,,,
gcp3,2804035.698,1175261.668,1489.175,,,,,,
gcp4,2804036.78,1175271.824,1491.966,,32.3929999996908,20.5300000000279,,,
gcp5,2804056.73,1175273.659,1490.834,,251.88,159.64,,84.14,50.16
gcp6,2804101.6,1175278.832,1492.893,,,,,,
gcp7,2804165.825,1175292.884,1493.137,,83.02,48.45,,,
gcp8,2804182.047,1175250.607,1493.919,,,,,,
gcp9,2804107.518,1175241.001,1491.441,,,,,,
gcp10,2804069.799,1175236.847,1490.237,,,,,,
gcp11,2804059.966,1175226.305,1491.61,,0.329601397490869,0.303495364570283,,,
gcp12,2804051.502,1175215.466,1495.323,,,,,,
,,,,,10.6767780688198,6.23075983463639,,,
,,,,,,,,,
,,,,GCProck,2804015.06377807,1175257.52475983,1489.738,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,-51.62,-5.56,,,
,,,,,,,,,
,,,,,-6.50781643973777,-0.70095814422592,,,
,793.2,100,,GCP10,,,,,
,,,,GCPbloem,2804063.29118356,1175236.14604186,,,
,,0.126071608673727,,,,,,,
